0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
0182  //   0.005890
FF55  //  -0.002609
0033  //   0.000778
FAA2  //  -0.020966
0D7A  //   0.052643
FFE7  //  -0.000381
00D2  //   0.003204
FEC5  //  -0.004807
01E1  //   0.007339
FF78  //  -0.002075
004D  //   0.001175
FCA1  //  -0.013168
035F  //   0.013168
FFB3  //  -0.001175
0088  //   0.002075
FE1F  //  -0.007339
013B  //   0.004807
FF2E  //  -0.003204
0019  //   0.000381
F286  //  -0.052643
0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
0182  //   0.005890
FF55  //  -0.002609
0033  //   0.000778
FAA2  //  -0.020966
0D7A  //   0.052643
FFE7  //  -0.000381
00D2  //   0.003204
FEC5  //  -0.004807
01E1  //   0.007339
FF78  //  -0.002075
004D  //   0.001175
FCA1  //  -0.013168
035F  //   0.013168
FFB3  //  -0.001175
0088  //   0.002075
FE1F  //  -0.007339
013B  //   0.004807
FF2E  //  -0.003204
0019  //   0.000381
F286  //  -0.052643
0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
0182  //   0.005890
FF55  //  -0.002609
0033  //   0.000778
FAA2  //  -0.020966
0D7A  //   0.052643
FFE7  //  -0.000381
00D2  //   0.003204
FEC5  //  -0.004807
01E1  //   0.007339
FF78  //  -0.002075
004D  //   0.001175
FCA1  //  -0.013168
035F  //   0.013168
FFB3  //  -0.001175
0088  //   0.002075
FE1F  //  -0.007339
013B  //   0.004807
FF2E  //  -0.003204
0019  //   0.000381
F286  //  -0.052643
0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
0182  //   0.005890
FF55  //  -0.002609
0033  //   0.000778
FAA2  //  -0.020966
0D7A  //   0.052643
FFE7  //  -0.000381
00D2  //   0.003204
FEC5  //  -0.004807
01E1  //   0.007339
FF78  //  -0.002075
004D  //   0.001175
FCA1  //  -0.013168
035F  //   0.013168
FFB3  //  -0.001175
0088  //   0.002075
FE1F  //  -0.007339
013B  //   0.004807
FF2E  //  -0.003204
0019  //   0.000381
F286  //  -0.052643
0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
0182  //   0.005890
FF55  //  -0.002609
0033  //   0.000778
FAA2  //  -0.020966
0D7A  //   0.052643
FFE7  //  -0.000381
00D2  //   0.003204
FEC5  //  -0.004807
01E1  //   0.007339
FF78  //  -0.002075
004D  //   0.001175
FCA1  //  -0.013168
035F  //   0.013168
FFB3  //  -0.001175
0088  //   0.002075
FE1F  //  -0.007339
013B  //   0.004807
FF2E  //  -0.003204
0019  //   0.000381
F286  //  -0.052643
0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
0182  //   0.005890
FF55  //  -0.002609
0033  //   0.000778
FAA2  //  -0.020966
0D7A  //   0.052643
FFE7  //  -0.000381
00D2  //   0.003204
FEC5  //  -0.004807
01E1  //   0.007339
FF78  //  -0.002075
004D  //   0.001175
FCA1  //  -0.013168
035F  //   0.013168
FFB3  //  -0.001175
0088  //   0.002075
FE1F  //  -0.007339
013B  //   0.004807
FF2E  //  -0.003204
0019  //   0.000381
F286  //  -0.052643
0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
0182  //   0.005890
FF55  //  -0.002609
0033  //   0.000778
FAA2  //  -0.020966
0D7A  //   0.052643
FFE7  //  -0.000381
00D2  //   0.003204
FEC5  //  -0.004807
01E1  //   0.007339
FF78  //  -0.002075
004D  //   0.001175
FCA1  //  -0.013168
035F  //   0.013168
FFB3  //  -0.001175
0088  //   0.002075
FE1F  //  -0.007339
013B  //   0.004807
FF2E  //  -0.003204
0019  //   0.000381
F286  //  -0.052643
0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
0182  //   0.005890
FF55  //  -0.002609
0033  //   0.000778
FAA2  //  -0.020966
0D7A  //   0.052643
FFE7  //  -0.000381
00D2  //   0.003204
FEC5  //  -0.004807
01E1  //   0.007339
FF78  //  -0.002075
004D  //   0.001175
FCA1  //  -0.013168
035F  //   0.013168
FFB3  //  -0.001175
0088  //   0.002075
FE1F  //  -0.007339
013B  //   0.004807
FF2E  //  -0.003204
0019  //   0.000381
F286  //  -0.052643
0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
0182  //   0.005890
FF55  //  -0.002609
0033  //   0.000778
FAA2  //  -0.020966
0D7A  //   0.052643
FFE7  //  -0.000381
00D2  //   0.003204
FEC5  //  -0.004807
01E1  //   0.007339
FF78  //  -0.002075
004D  //   0.001175
FCA1  //  -0.013168
035F  //   0.013168
FFB3  //  -0.001175
0088  //   0.002075
FE1F  //  -0.007339
013B  //   0.004807
FF2E  //  -0.003204
0019  //   0.000381
F286  //  -0.052643
0000  //   0.000000
0000  //   0.000000
FF00  //  -0.003906
0100  //   0.003906
FD8A  //  -0.009613
006A  //   0.001617
FF96  //  -0.001617
0276  //   0.009613
FAA2  //  -0.020966
0033  //   0.000778
FF55  //  -0.002609
0182  //   0.005890
FE7E  //  -0.005890
00AB  //   0.002609
FFCD  //  -0.000778
055E  //   0.020966
F286  //  -0.052643
0019  //   0.000381
FF2E  //  -0.003204
013B  //   0.004807
FE1F  //  -0.007339
0088  //   0.002075
FFB3  //  -0.001175
035F  //   0.013168
FCA1  //  -0.013168
004D  //   0.001175
FF78  //  -0.002075
01E1  //   0.007339
FEC5  //  -0.004807
00D2  //   0.003204
FFE7  //  -0.000381
0D7A  //   0.052643
0000  //   0.000000
0000  //   0.000000
0100  //   0.003906
FF00  //  -0.003906
0276  //   0.009613
FF96  //  -0.001617
006A  //   0.001617
FD8A  //  -0.009613
055E  //   0.020966
FFCD  //  -0.000778
00AB  //   0.002609
FE7E  //  -0.005890
